Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,RoundNumber
0 days 00:31:06.625000,LEC,16,0 days 00:01:23.163000,5.0,2.0,,,0 days 00:00:17.072000,0 days 00:00:35.979000,0 days 00:00:30.112000,0 days 00:30:00.534000,0 days 00:30:36.513000,0 days 00:31:06.625000,291.0,325.0,220.0,332.0,True,SOFT,2.0,True,Ferrari,0 days 00:29:43.462000,,1,,,,False,True,24
0 days 00:44:54.687000,LEC,16,0 days 00:01:23.274000,8.0,3.0,,,0 days 00:00:17.060000,0 days 00:00:36.156000,0 days 00:00:30.058000,0 days 00:43:48.473000,0 days 00:44:24.629000,0 days 00:44:54.687000,291.0,322.0,220.0,327.0,True,SOFT,5.0,False,Ferrari,0 days 00:43:31.413000,,1,,,,False,True,24
0 days 00:52:33.807000,LEC,16,0 days 00:01:22.948000,11.0,4.0,,,0 days 00:00:17.066000,0 days 00:00:35.922000,0 days 00:00:29.960000,0 days 00:51:27.925000,0 days 00:52:03.847000,0 days 00:52:33.807000,290.0,321.0,221.0,325.0,True,SOFT,2.0,True,Ferrari,0 days 00:51:10.859000,,1,,,,False,True,24
0 days 01:05:36.995000,LEC,16,0 days 00:01:22.794000,14.0,5.0,,,0 days 00:00:16.984000,0 days 00:00:35.904000,0 days 00:00:29.906000,0 days 01:04:31.185000,0 days 01:05:07.089000,0 days 01:05:36.995000,291.0,322.0,221.0,327.0,True,SOFT,2.0,True,Ferrari,0 days 01:04:14.201000,,1,,,,False,True,24
0 days 01:13:53.164000,LEC,16,0 days 00:01:22.730000,17.0,6.0,,,0 days 00:00:16.987000,0 days 00:00:35.823000,0 days 00:00:29.920000,0 days 01:12:47.421000,0 days 01:13:23.244000,0 days 01:13:53.164000,291.0,321.0,221.0,326.0,True,SOFT,2.0,True,Ferrari,0 days 01:12:30.434000,,1,,,,False,True,24
0 days 00:21:01.910000,ALO,14,0 days 00:01:23.417000,2.0,1.0,,,0 days 00:00:17.031000,0 days 00:00:36.171000,0 days 00:00:30.215000,0 days 00:19:55.524000,0 days 00:20:31.695000,0 days 00:21:01.910000,293.0,321.0,221.0,326.0,True,SOFT,2.0,True,Aston Martin,0 days 00:19:38.493000,,1,,,,False,True,24
0 days 00:31:57.825000,ALO,14,0 days 00:01:23.071000,5.0,2.0,,,0 days 00:00:16.994000,0 days 00:00:35.994000,0 days 00:00:30.083000,0 days 00:30:51.748000,0 days 00:31:27.742000,0 days 00:31:57.825000,293.0,323.0,221.0,326.0,True,SOFT,2.0,True,Aston Martin,0 days 00:30:34.754000,,1,,,,False,True,24
0 days 00:45:04.320000,ALO,14,0 days 00:01:23.036000,8.0,3.0,,,0 days 00:00:16.949000,0 days 00:00:36.223000,0 days 00:00:29.864000,0 days 00:43:58.233000,0 days 00:44:34.456000,0 days 00:45:04.320000,295.0,321.0,219.0,330.0,True,SOFT,2.0,True,Aston Martin,0 days 00:43:41.284000,,1,,,,False,True,24
0 days 00:53:51.640000,ALO,14,0 days 00:01:22.861000,11.0,4.0,,,0 days 00:00:16.922000,0 days 00:00:35.984000,0 days 00:00:29.955000,0 days 00:52:45.701000,0 days 00:53:21.685000,0 days 00:53:51.640000,295.0,324.0,222.0,329.0,True,SOFT,2.0,True,Aston Martin,0 days 00:52:28.779000,,1,,,,False,True,24
0 days 01:05:30.623000,ALO,14,0 days 00:01:23.279000,14.0,5.0,,,0 days 00:00:17.034000,0 days 00:00:36.180000,0 days 00:00:30.065000,0 days 01:04:24.378000,0 days 01:05:00.558000,0 days 01:05:30.623000,294.0,321.0,216.0,327.0,True,SOFT,5.0,False,Aston Martin,0 days 01:04:07.344000,,1,,,,False,True,24
0 days 01:13:35.400000,ALO,14,0 days 00:01:22.902000,17.0,6.0,,,0 days 00:00:16.970000,0 days 00:00:36.049000,0 days 00:00:29.883000,0 days 01:12:29.468000,0 days 01:13:05.517000,0 days 01:13:35.400000,293.0,321.0,222.0,327.0,True,SOFT,2.0,True,Aston Martin,0 days 01:12:12.498000,,1,,,,False,True,24
0 days 00:17:38.640000,BOR,5,0 days 00:01:23.664000,2.0,1.0,,,0 days 00:00:17.193000,0 days 00:00:36.217000,0 days 00:00:30.254000,0 days 00:16:32.169000,0 days 00:17:08.386000,0 days 00:17:38.640000,288.0,321.0,219.0,325.0,True,SOFT,2.0,True,Kick Sauber,0 days 00:16:14.976000,,1,,,,False,True,24
0 days 00:24:19.555000,BOR,5,0 days 00:01:23.970000,5.0,2.0,,,0 days 00:00:17.243000,0 days 00:00:36.443000,0 days 00:00:30.284000,0 days 00:23:12.828000,0 days 00:23:49.271000,0 days 00:24:19.555000,289.0,318.0,221.0,324.0,False,SOFT,5.0,False,Kick Sauber,0 days 00:22:55.585000,,1,,,,False,True,24
0 days 00:32:41.293000,BOR,5,0 days 00:01:23.374000,8.0,3.0,,,0 days 00:00:17.010000,0 days 00:00:36.177000,0 days 00:00:30.187000,0 days 00:31:34.929000,0 days 00:32:11.106000,0 days 00:32:41.293000,291.0,321.0,220.0,329.0,True,SOFT,2.0,True,Kick Sauber,0 days 00:31:17.919000,,1,,,,False,True,24
0 days 00:45:18.645000,BOR,5,0 days 00:01:23.092000,11.0,4.0,,,0 days 00:00:17.020000,0 days 00:00:36.047000,0 days 00:00:30.025000,0 days 00:44:12.573000,0 days 00:44:48.620000,0 days 00:45:18.645000,291.0,322.0,220.0,327.0,True,SOFT,2.0,True,Kick Sauber,0 days 00:43:55.553000,,1,,,,False,True,24
0 days 00:52:56.266000,BOR,5,0 days 00:01:22.874000,14.0,5.0,,,0 days 00:00:17.031000,0 days 00:00:35.968000,0 days 00:00:29.875000,0 days 00:51:50.423000,0 days 00:52:26.391000,0 days 00:52:56.266000,291.0,322.0,221.0,327.0,True,SOFT,2.0,True,Kick Sauber,0 days 00:51:33.392000,,1,,,,False,True,24
0 days 01:04:52.210000,BOR,5,0 days 00:01:23.214000,17.0,6.0,,,0 days 00:00:17.055000,0 days 00:00:36.064000,0 days 00:00:30.095000,0 days 01:03:46.051000,0 days 01:04:22.115000,0 days 01:04:52.210000,290.0,320.0,221.0,326.0,True,SOFT,5.0,False,Kick Sauber,0 days 01:03:28.996000,,1,,,,False,True,24
0 days 01:13:25.079000,BOR,5,0 days 00:01:22.904000,20.0,7.0,,,0 days 00:00:17.025000,0 days 00:00:36.016000,0 days 00:00:29.863000,0 days 01:12:19.200000,0 days 01:12:55.216000,0 days 01:13:25.079000,291.0,319.0,220.0,325.0,True,SOFT,2.0,True,Kick Sauber,0 days 01:12:02.175000,,1,,,,False,True,24
0 days 00:21:22.340000,OCO,31,0 days 00:01:23.676000,2.0,1.0,,,0 days 00:00:17.189000,0 days 00:00:36.077000,0 days 00:00:30.410000,0 days 00:20:15.853000,0 days 00:20:51.930000,0 days 00:21:22.340000,293.0,323.0,220.0,329.0,True,SOFT,2.0,True,Haas F1 Team,0 days 00:19:58.664000,,1,,,,False,True,24
0 days 00:32:24.445000,OCO,31,0 days 00:01:23.334000,5.0,2.0,,,0 days 00:00:17.156000,0 days 00:00:36.129000,0 days 00:00:30.049000,0 days 00:31:18.267000,0 days 00:31:54.396000,0 days 00:32:24.445000,294.0,321.0,222.0,324.0,True,SOFT,2.0,True,Haas F1 Team,0 days 00:31:01.111000,,1,,,,False,True,24
0 days 00:43:37.959000,OCO,31,0 days 00:01:23.187000,8.0,3.0,,,0 days 00:00:17.111000,0 days 00:00:36.036000,0 days 00:00:30.040000,0 days 00:42:31.883000,0 days 00:43:07.919000,0 days 00:43:37.959000,294.0,321.0,221.0,326.0,True,SOFT,2.0,True,Haas F1 Team,0 days 00:42:14.772000,,1,,,,False,True,24
0 days 00:53:30.771000,OCO,31,0 days 00:01:23.023000,11.0,4.0,,,0 days 00:00:16.991000,0 days 00:00:36.049000,0 days 00:00:29.983000,0 days 00:52:24.739000,0 days 00:53:00.788000,0 days 00:53:30.771000,295.0,321.0,223.0,328.0,True,SOFT,2.0,True,Haas F1 Team,0 days 00:52:07.748000,,1,,,,False,True,24
0 days 01:05:01.281000,OCO,31,0 days 00:01:23.538000,14.0,5.0,,,0 days 00:00:17.112000,0 days 00:00:36.280000,0 days 00:00:30.146000,0 days 01:03:54.855000,0 days 01:04:31.135000,0 days 01:05:01.281000,294.0,320.0,222.0,326.0,True,SOFT,5.0,False,Haas F1 Team,0 days 01:03:37.743000,,1,,,,False,True,24
0 days 01:13:16.823000,OCO,31,0 days 00:01:22.913000,17.0,6.0,,,0 days 00:00:17.066000,0 days 00:00:36.006000,0 days 00:00:29.841000,0 days 01:12:10.976000,0 days 01:12:46.982000,0 days 01:13:16.823000,294.0,320.0,222.0,326.0,True,SOFT,2.0,True,Haas F1 Team,0 days 01:11:53.910000,,1,,,,False,True,24
0 days 00:20:25.715000,HAD,6,0 days 00:01:23.614000,2.0,1.0,,,0 days 00:00:17.129000,0 days 00:00:36.312000,0 days 00:00:30.173000,0 days 00:19:19.230000,0 days 00:19:55.542000,0 days 00:20:25.715000,291.0,322.0,221.0,328.0,True,SOFT,2.0,True,Racing Bulls,0 days 00:19:02.101000,,1,,,,False,True,24
0 days 00:30:18.251000,HAD,6,0 days 00:01:23.373000,5.0,2.0,,,0 days 00:00:17.047000,0 days 00:00:36.094000,0 days 00:00:30.232000,0 days 00:29:11.925000,0 days 00:29:48.019000,0 days 00:30:18.251000,292.0,323.0,220.0,329.0,True,SOFT,2.0,True,Racing Bulls,0 days 00:28:54.878000,,1,,,,False,True,24
0 days 00:44:27.455000,HAD,6,0 days 00:01:23.312000,8.0,3.0,,,0 days 00:00:17.042000,0 days 00:00:36.161000,0 days 00:00:30.109000,0 days 00:43:21.185000,0 days 00:43:57.346000,0 days 00:44:27.455000,292.0,322.0,221.0,328.0,True,SOFT,2.0,True,Racing Bulls,0 days 00:43:04.143000,,1,,,,False,True,24
