DriverNumber,LapTime,LapNumber,SpeedST,TyreLife,TrackTemp,Rainfall,Position,RoundNumber,FuelLevel,QualiBest,Target,DriverPower,TeamPace,C_INTERMEDIATE,Length,Traction,Abrasion,TrackEvolution,TyreStress,Lateral,Downforce,CompoundRating,GapAhead,GapBehind
10,92.744,15.0,271.0,15.0,19.3,1,9.0,1,42.0,75.096,1.2350058591669328,1.096341994734344,1.0968507496185484,1,5278,2,2,3,3,3,3,0,2.446,1.589
12,92.212,15.0,290.0,15.0,19.3,1,12.0,1,42.0,75.096,1.2279215936934058,1.084573708892837,1.0833161500217654,1,5278,2,2,3,3,3,3,0,2.769,0.774
14,92.324,15.0,275.0,15.0,19.3,1,10.0,1,42.0,75.096,1.229413018003622,1.094348160425449,1.0951357984631918,1,5278,2,2,3,3,3,3,0,1.589,2.645
16,91.846,15.0,285.0,15.0,19.3,1,5.0,1,42.0,75.096,1.2230478321082348,1.0803511817332088,1.081005071523716,1,5278,2,2,3,3,3,3,0,3.178,2.746
18,92.382,15.0,272.0,11.0,19.3,1,11.0,1,42.0,75.096,1.2301853627356982,1.0958223347850442,1.0951357984631918,1,5278,2,2,3,3,3,3,0,2.645,2.769
22,92.545,15.0,260.0,15.0,19.3,1,6.0,1,42.0,75.096,1.2323559177586023,1.0958071838696755,1.094053183365175,1,5278,2,2,3,3,3,3,0,2.746,2.415
23,92.733,15.0,259.0,13.0,19.3,1,7.0,1,42.0,75.096,1.2348593799936085,1.0883597823431241,1.0899718193690289,1,5278,2,2,3,3,3,3,0,2.415,1.027
27,93.611,15.0,266.0,15.0,19.3,1,13.0,1,42.0,75.096,1.2465510812826248,1.0985748091286935,1.0984866747020223,1,5278,2,2,3,3,3,3,0,0.774,2.67
30,93.502,15.0,258.0,14.0,19.3,1,16.0,1,42.0,75.096,1.2450996058378607,1.0953088118053491,1.0870170033224884,1,5278,2,2,3,3,3,3,0,1.489,3.69
31,93.703,15.0,260.0,11.0,19.3,1,15.0,1,42.0,75.096,1.2477761798231597,1.096348326492616,1.0965346807736014,1,5278,2,2,3,3,3,3,0,3.755,1.489
44,92.763,15.0,270.0,15.0,19.3,1,8.0,1,42.0,75.096,1.2352588686481305,1.0813378035923007,1.081005071523716,1,5278,2,2,3,3,3,3,0,1.027,2.446
63,91.885,15.0,281.0,15.0,19.3,0,4.0,1,42.0,75.096,1.2235671673591135,1.082307011781026,1.0833161500217654,1,5278,2,2,3,3,3,3,0,7.588,3.178
81,90.343,15.0,278.0,15.0,19.3,0,3.0,1,42.0,75.096,1.203033450516672,1.077153962090554,1.0770376449943158,1,5278,2,2,3,3,3,3,0,0.568,7.588
87,93.885,15.0,281.0,11.0,19.3,1,17.0,1,42.0,75.096,1.2501997443272612,1.0966450061230568,1.0965346807736014,1,5278,2,2,3,3,3,3,0,3.69,100.0
1,90.592,16.0,297.0,16.0,19.3,1,2.0,1,41.0,75.096,1.2063492063492065,1.0760447744453667,1.0870170033224884,1,5278,2,2,3,3,3,3,0,1.127,0.583
4,89.952,16.0,281.0,16.0,19.3,1,1.0,1,41.0,75.096,1.197826781719399,1.0767611289386125,1.0770376449943158,1,5278,2,2,3,3,3,3,0,100.0,1.127
5,94.111,16.0,283.0,16.0,19.3,1,14.0,1,41.0,75.096,1.253209225524662,1.098393489329892,1.0984866747020223,1,5278,2,2,3,3,3,3,0,2.751,3.766
10,92.445,16.0,270.0,16.0,19.3,1,9.0,1,41.0,75.096,1.2310242889101948,1.096341994734344,1.0968507496185484,1,5278,2,2,3,3,3,3,0,2.427,1.169
12,97.326,16.0,294.0,16.0,19.3,1,13.0,1,41.0,75.096,1.2960210930009586,1.084573708892837,1.0833161500217654,1,5278,2,2,3,3,3,3,0,2.599,2.173
14,92.521,16.0,258.0,16.0,19.3,1,10.0,1,41.0,75.096,1.2320363268349843,1.094348160425449,1.0951357984631918,1,5278,2,2,3,3,3,3,0,1.169,2.703
