RoundNumber,LapNumber,DriverNumber,AvgCorneringSpeed,MaxSpeed,AvgRPM,GearShifts,AvgThrottle,BrakePct
1,30,10,115.64416,306.0,10094.761627906977,35.0,68.713196,15.261627906976743
1,31,10,115.26654,304.0,10117.811678832117,31.0,69.88488,16.642335766423358
1,32,10,115.94555,304.0,10099.673559822748,32.0,69.47844,17.134416543574595
1,35,10,110.32428,286.0,9796.227047146402,44.0,55.367264,24.441687344913152
1,36,10,110.824905,289.0,9885.266842800529,35.0,61.472187,21.92866578599736
1,37,10,95.514534,309.0,9074.157620041753,49.0,42.392853,25.052192066805844
1,38,10,94.82794,279.0,9155.380362249762,65.0,41.020607,27.645376549094376
1,39,10,103.199234,267.0,9505.59375,65.0,45.416454,29.133064516129032
1,40,10,111.45689,274.0,9594.660965794768,62.0,41.05212,24.547283702213278
1,41,10,103.488686,292.3909,9537.455602536998,60.0,48.22496,28.858350951374206
1,42,10,116.59647,320.0,10235.373111782477,33.0,66.47655,22.507552870090635
1,43,10,114.90447,312.0,10375.9754601227,35.0,71.20385,16.717791411042946
1,44,10,116.00784,312.0,10158.756838905774,32.0,67.62556,19.756838905775076
1,45,10,112.61561,305.0,9878.221153846154,31.0,63.755882,19.505494505494507
1,48,10,97.88259,285.0,9291.993325917687,46.0,44.412052,26.140155728587317
1,49,10,105.67562,263.0,9410.380597014926,70.0,37.378197,28.638059701492537
1,50,10,105.9804,274.0,9260.470813397129,60.0,38.3281,31.196172248803826
1,51,10,109.93196,289.725,9218.278656126482,60.0,41.836433,31.126482213438734
1,52,10,109.600784,307.0,9571.11907983762,33.0,59.025024,21.650879566982407
1,53,10,114.29315,305.0,9949.312954876274,34.0,62.859325,20.232896652110625
1,54,10,111.330025,305.0,9822.834285714285,36.0,60.807922,22.142857142857142
1,55,10,111.52779,304.0,9839.036390101892,31.0,64.36258,18.922852983988356
1,56,10,117.416824,300.0,10019.9764359352,32.0,65.86495,20.471281296023562
1,57,10,115.21628,301.0,9926.18479880775,35.0,64.65057,19.523099850968702
1,6,12,99.56365,263.0,8809.149722735674,42.0,33.32297,24.306839186691313
1,7,12,113.15098,282.65,9655.877551020409,53.0,41.937466,25.77873254564984
1,8,12,111.17011,313.0,10100.644736842105,45.0,57.736843,22.36842105263158
1,9,12,113.08535,312.0,10244.959239130434,45.0,59.65418,21.331521739130434
1,10,12,113.39144,317.0,10184.473829201102,38.0,59.602818,22.31404958677686
1,11,12,113.08613,314.0,10153.114958448754,39.0,60.82041,20.3601108033241
1,12,12,114.56289,325.0,10163.922764227642,37.0,58.916927,21.138211382113823
1,13,12,113.00245,315.0,10122.846685082874,39.0,61.137524,19.19889502762431
1,14,12,112.69924,317.0,10138.89406779661,36.0,62.575085,20.62146892655367
1,15,12,113.289276,306.0,10312.62134502924,35.0,66.69649,17.105263157894736
1,16,12,103.17113,307.0,9897.288741721854,39.0,60.97472,18.41059602649007
1,17,12,111.25929,315.0,10209.92492917847,40.0,64.72518,20.113314447592067
1,18,12,112.72314,304.0,10218.035190615836,33.0,66.95575,15.249266862170089
1,19,12,112.32759,304.0,10257.866279069767,32.0,66.498955,16.569767441860463
1,20,12,113.10356,305.0,10333.803806734993,30.0,66.88785,16.398243045387993
1,21,12,113.2813,304.0,10302.48142857143,31.0,66.13526,16.57142857142857
